
DATE,OSS_KEYWORD,USERS,SITE_VISITS,RANK,KEYWORD_CATEGORY
2021-01-10,amazonbasics,96.06723513,98.382108266,9,Amazon
2021-01-10,webcam,94.909798562,100.696981401,10,Computer
2021-01-10,mouse pad,94.909798562,106.48416424,10,Computer
2021-01-11,b0881yrvh7|b0872fv1bn|b0872gbrqt|b0872fz3rq|b086h4qsbg|b0881ysjnm|b07hxnlgm7|b0872gbg16|b08d9t73yq|b086h5yg5h,177.372595294,189.972834304,1,Books
2021-01-11,gpd win,157.987612202,157.987612202,2,Toy & Games
2021-01-11,webcam,148.295120656,160.895359666,3,Computer
2021-01-11,monitor,103.709659543,105.648157853,4,Computer
2021-01-11,playstation 5,103.709659543,103.709659543,4,Toy & Games
2021-01-11,nintendo switch,99.832662925,105.648157853,6,Toy & Games
2021-01-11,ps5,98.86341377,100.80191208,7,Toy & Games
2021-01-11,mouse pad,94.986417152,106.617407007,8,Computer
2021-01-11,headphones,92.078669688,94.986417152,9,Computer
2021-01-11,eggs,92.078669688,94.017167997,9,Grocery
2021-01-12,b0881yrvh7|b0872fv1bn|b0872gbrqt|b0872fz3rq|b086h4qsbg|b0881ysjnm|b07hxnlgm7|b0872gbg16|b08d9t73yq|b086h5yg5h,264.213051473,297.239682907,1,Books
2021-01-12,webcam,141.820240864,152.505327505,2,Computer
2021-01-12,monitor,107.822237917,116.564581532,3,Computer
2021-01-12,ps5,101.022637328,106.850866404,4,Toy & Games
2021-01-12,the expanse,97.137151277,110.736352456,5,Movie
2021-01-12,nintendo switch,85.480693124,93.251665226,6,Toy & Games
2021-01-12,headphones,80.62383556,81.595207072,7,Computer
2021-01-12,office chair,78.681092534,84.509321611,8,Furniture
2021-01-12,playstation 5,76.738349509,79.652464047,9,Toy & Games
2021-01-12,mouse pad,75.766977996,83.537950098,10,Computer
2021-01-13,webcam,135.35583399,144.119880795,1,Computer
2021-01-13,ps5,111.98504251,114.906391445,2,Toy & Games
2021-01-13,monitor,103.220995705,107.116127618,3,Computer
2021-01-13,b0881yrvh7|b0872fv1bn|b0872gbrqt|b0872fz3rq|b086h4qsbg|b0881ysjnm|b07hxnlgm7|b0872gbg16|b08d9t73yq|b086h5yg5h,97.378297835,104.194778683,4,Books
2021-01-13,the expanse,89.588034008,93.483165921,5,Movie
2021-01-13,n95 mask,89.588034008,94.4569489,5,Face Masks
2021-01-13,eggs,87.640468051,90.561816986,7,Grocery
2021-01-13,headphones,86.666685073,90.561816986,8,Computer
2021-01-13,office chair,82.771553159,89.588034008,9,Furniture
2021-01-13,nintendo switch,79.850204224,84.719119116,10,Toy & Games
2021-01-13,playstation 5,79.850204224,81.797770181,10,Toy & Games
2021-01-13,mouse pad,79.850204224,88.614251029,10,Computer
2021-01-14,webcam,129.74498089,137.549190267,1,Computer
2021-01-14,monitor,100.479195727,105.356826587,2,Computer
2021-01-14,n95 mask,96.577091038,96.577091038,3,Face Masks
2021-01-14,ps5,95.601564866,95.601564866,4,Toy & Games
2021-01-14,headphones,84.870776973,87.797355489,5,Computer
2021-01-14,ssd,80.968672285,84.870776973,6,Computer
2021-01-14,mouse pad,79.993146113,89.748407834,7,Computer
2021-01-14,office chair,79.01761994,83.895250801,8,Furniture
2021-01-14,nintendo switch,78.042093768,79.01761994,9,Toy & Games
2021-01-14,eggs,78.042093768,78.042093768,9,Grocery
2021-01-15,ps5,126.598315758,127.59515289,1,Toy & Games
2021-01-15,webcam,102.674224591,107.658410251,2,Computer
2021-01-15,tandav,98.686876063,108.655247383,3,Movie
2021-01-15,monitor,97.690038931,103.671061723,4,Computer
2021-01-15,playstation 5,92.705853272,93.702690404,5,Toy & Games
2021-01-15,eggs,92.705853272,92.705853272,5,Grocery
2021-01-15,headphones,90.712179008,90.712179008,7,Computer
2021-01-15,n95 mask,89.715341876,90.712179008,8,Face Masks
2021-01-15,nintendo switch,87.721667612,90.712179008,9,Toy & Games
2021-01-15,office chair,78.750133424,86.72483048,10,Furniture
2021-01-16,eggs,119.91121207,119.91121207,1,Grocery
2021-01-16,ps5,109.119202984,109.119202984,2,Toy & Games
2021-01-16,n95 mask,103.12364238,107.920090863,3,Face Masks
2021-01-16,webcam,100.725418139,109.119202984,4,Computer
2021-01-16,monitor,98.327193898,112.716539346,5,Computer
2021-01-16,headphones,98.327193898,99.526306018,5,Computer
2021-01-16,desk,95.928969656,106.720978742,7,Furniture
2021-01-16,milk,95.928969656,95.928969656,7,Grocery
2021-01-16,mouse pad,91.132521173,95.928969656,9,Computer
2021-01-16,bananas,89.933409053,89.933409053,10,Grocery
2021-01-16,tandav,89.933409053,91.132521173,10,Movie
2021-01-17,fire tv stick,175.591661335,176.778091479,1,TV
2021-01-17,eggs,147.117337875,149.490198164,2,Grocery
2021-01-17,bread,116.270154127,117.456584272,3,Grocery
2021-01-17,nintendo switch,111.524433551,117.456584272,4,Toy & Games
2021-01-17,monitor,104.405852686,112.710863695,5,Computer
2021-01-17,webcam,98.473701965,99.660132109,6,Computer
2021-01-17,milk,96.100841677,96.100841677,7,Grocery
2021-01-17,playstation 5,93.727981388,94.914411533,8,Toy & Games
2021-01-17,paper towels,88.982260812,92.541551244,9,Grocery
2021-01-17,n95 mask,87.795830668,93.727981388,10,Face Masks
2021-01-18,monitor,117.790300218,124.100494873,1,Computer
2021-01-18,webcam,113.583503782,117.790300218,2,Computer
2021-01-18,nintendo switch,110.428406454,115.686902,3,Toy & Games
2021-01-18,eggs,108.325008236,114.635202891,4,Grocery
2021-01-18,ps5,98.859716254,98.859716254,5,Toy & Games
2021-01-18,milk,91.497822491,92.5495216,6,Grocery
2021-01-18,desk,88.342725164,91.497822491,7,Furniture
2021-01-18,headphones,87.291026054,90.446123382,8,Computer
2021-01-18,office chair,86.239326945,90.446123382,9,Furniture
